cacode,population,electors
Q25,18555,11319
Q26,16675,6088
Q27,16570,4555
R01,19821,9341
R02,16442,7654
R03,18329,11265
R04,15824,8872
R05,15363,8343
R06,17586,8138
R07,16543,9933
R08,16341,11596
R09,20609,8185
R10,15274,8822
R11,17028,8715
R12,15432,8597
R13,13242,9347
R14,18693,7825
R15,20693,8852
R16,20452,11920
R17,14986,8485
R18,16045,9482
R19,20765,12216
R20,15032,7914
R21,13191,7847
R22,16960,7527
R23,14491,6169
R24,20910,10878
R25,20813,11954
R26,18206,9081
R27,16354,10072
R28,16979,11455
R29,16346,5424
R30,17726,10534
R31,19370,13212
R32,21864,15302
R33,21661,11732
R34,17868,10859
R35,18197,9486
R36,16660,8332
R37,18016,10162
R38,13883,8983
S01,17975,9687
S02,18253,10790
S03,12957,7154
S04,13301,8320
S05,19197,8327
S06,20793,9353
S07,21347,11691
S08,16044,9311
S09,19630,11151
S10,21330,9442
S11,21829,9459
S12,17652,10404
S13,16655,9033
S14,14771,7734
S15,15988,8362
S16,20293,9673
S17,14095,8131
S18,18254,10544
S19,20850,11981
S20,19576,9978
S21,17201,9378
S22,19924,9698
S23,18733,10541
S24,15560,9057
S25,15138,9822
S26,19744,9377
S27,13616,8842
S28,18267,11821
S29,13832,9794
T01,19207,7034
T02,18959,8651
T03,20124,10917
T04,22450,7494
T05,18489,10484
T06,13390,4394
T07,7376,3772
T08,6183,2404
T09,11108,6189
T10,11082,5714
